"","nGene","nReads","orig.ident","percent.mito","percent.ERCC","percent.ribo","res.0.6","plate","cell_ontology_class","tsne_1","tsne_2","tsne_3"
"G22.MAA000574.3_8_M.1.1",3607,1997557,"Combined",0,0.0137094182014424,0.0074741296493667,"5","MAA000574","pancreatic ductal cell",-18.7731816061812,2.88971296389141,-16.6593767253958
"L8.MAA000574.3_8_M.1.1",6926,2030675,"Combined",0,0.00269477575949261,0.00372486980929986,"2","MAA000574","udf",8.9605807023905,-8.6957392811467,-25.3324422863476
"M15.MAA000574.3_8_M.1.1",5961,2003670,"Combined",0,0.00690424266455194,0.0162117514361147,"5","MAA000574","udf",-17.632529141423,1.23481514802571,-23.4790628575954
"N21.MAA000574.3_8_M.1.1",2607,632263,"Combined",0,0.0136687336687337,0.00469741231101614,"10","MAA000574","endothelial cell",-31.6010437734691,6.4739353390351,-6.59468796943683
"P2.MAA000574.3_8_M.1.1",135,172,"Combined",0,0.536388140161725,0.0581395348837209,"6","MAA000574","udf",-15.5300085673787,-14.6610301032473,6.74631442640105
"I17.MAA000574.3_8_M.1.1",1355,181180,"Combined",0,0.3987901472994,0.00288663207859587,"0","MAA000574","pancreatic acinar cell",-16.2829591694822,0.460273384690675,20.1894908220324
"K3.MAA000574.3_8_M.1.1",3531,2452784,"Combined",0,0.00541776740621496,0.00609959947553474,"11","MAA000574","udf",-26.6546554495366,-10.5183073685863,4.2312344356095
"L9.MAA000574.3_8_M.1.1",374,488551,"Combined",0,0.162685912311431,0.00448059670331245,"0","MAA000574","udf",-1.49481276981978,-2.44578862924592,26.0369737289761
"M16.MAA000574.3_8_M.1.1",6356,2702292,"Combined",0,0.00355172195091013,0.0170621827692936,"10","MAA000574","udf",-32.8209716425323,6.98970737134645,-7.27381813378174
"N22.MAA000574.3_8_M.1.1",2614,2068461,"Combined",0,0.00838514021415641,0.00354804852496615,"10","MAA000574","udf",-31.7133365773059,5.49732550573133,-4.50887968117475
"E8.MAA000574.3_8_M.1.1",4019,1959639,"Combined",0,0.00401516818726338,0.00528464681505114,"9","MAA000574","pancreatic PP cell",-3.92305550558031,13.8949546130105,-18.9024570022736
"F16.MAA000574.3_8_M.1.1",6339,1278264,"Combined",0,0.00415162750186391,0.00677481334059318,"2","MAA000574","type B pancreatic cell",10.4612116706981,-3.52532601873775,-25.1160921794055
"H1.MAA000574.3_8_M.1.1",348,583,"Combined",0,0.992210048102619,0.0411663807890223,"6","MAA000574","udf",-18.328532494269,-12.8389830511325,3.46532991859756
"P3.MAA000574.3_8_M.1.1",445,14504,"Combined",0,0.2135769668709,0.020477109762824,"0","MAA000574","udf",-11.4637181026201,-5.12073846333679,20.0584163014428
"H2.MAA000574.3_8_M.1.1",249,157465,"Combined",0,0.388388054020252,0.00417870637919538,"0","MAA000574","udf",-7.69459067858082,-7.79579004369521,22.599520959684
"I19.MAA000574.3_8_M.1.1",675,1928042,"Combined",0,0.0189065014856017,0.00236561236736544,"0","MAA000574","pancreatic acinar cell",0.205607645307318,5.12835380487205,26.6225461403323
"E9.MAA000574.3_8_M.1.1",3727,2335308,"Combined",0,0.00765808450153612,0.0114674381280756,"12","MAA000574","udf",-6.76168626636838,-31.9092221813162,3.08521625240931
"F17.MAA000574.3_8_M.1.1",763,129219,"Combined",0,0.28058991860504,0.00707326321980514,"0","MAA000574","pancreatic acinar cell",-11.7857270427879,10.9937617611043,17.4596858517228
"M17.MAA000574.3_8_M.1.1",347,527949,"Combined",0,0.119314400100088,0.0018259339443772,"0","MAA000574","udf",-1.11984156783061,-1.91366135003607,26.4073207557343
"O2.MAA000574.3_8_M.1.1",1281,423298,"Combined",0,0.0628966879119079,0.000207891367310972,"7","MAA000574","pancreatic acinar cell",-12.7531479006037,18.9558195995133,7.35855808066516
"P4.MAA000574.3_8_M.1.1",245,391868,"Combined",0,0.199521185107713,0.00555799401839395,"0","MAA000574","udf",-2.40291113553515,0.763173918236896,26.6781063444959
"K4.MAA000574.3_8_M.1.1",3928,1595700,"Combined",0,0.00980084319271434,0.010035721000188,"12","MAA000574","pancreatic stellate cell",-6.22925771089874,-31.8877129933108,2.25902210692943
"L10.MAA000574.3_8_M.1.1",366,492968,"Combined",0,0.125450165164046,0.00286225475081547,"0","MAA000574","udf",-2.01060173331387,-1.57098715041119,26.2574606054103
"E13.MAA000574.3_8_M.1.1",156,156326,"Combined",0,0.316431341854292,0.00255235853280964,"0","MAA000574","udf",-7.83981728996589,-4.34265947724697,23.3885592404638
"F18.MAA000574.3_8_M.1.1",114,15157,"Combined",0,0.295285475172029,0.00395856699874645,"0","MAA000574","udf",-7.73536828676864,-6.68941607243323,21.6317543409437
"H3.MAA000574.3_8_M.1.1",4807,2667452,"Combined",0,0.00805986777860167,0.00907307797853532,"5","MAA000574","udf",-18.1900864086062,3.12030549422581,-19.6140925255741
"I20.MAA000574.3_8_M.1.1",3444,1860058,"Combined",0,0.0146990661651323,0.00875080239433394,"5","MAA000574","pancreatic ductal cell",-18.6276432436848,2.80785481234919,-17.8346220477683
