CellID;cellType;HIF1A;ATP1A2;FGFR3;LMO3;TGFBI;ANXA2;EGFR;MBP;SOX9;STMN2;dimension 1;dimension 2;dimension 3;Dataset
1.00E+19;Neoplastic;523.17523;0;0;0;899.7281;2530.3464;870.8479;0;0;0;-3.300441;7.4423294;3.739327;Glioblastoma
1001000182.D12;Oligodendrocyte;0;0;0;0;0;0;0;5998.5024;5.7336097;0;-5.999652;-16.030863;3.000495;Glioblastoma
1001000182.H1;Neoplastic;1293.9631;0;0;0;0;1164.2426;0;0;0;0;-3.8803165;7.205969;3.444972;Glioblastoma
1001000182.C5;Neoplastic;554.8992;0;0;0;0;1964.796;2598.9666;0;9.43706;0;-4.18994;8.048828;3.5978048;Glioblastoma
1001000182.H4;Neoplastic;23.433952;0;42.47404;0;0;988.6199;7825.4756;1880.5747;807.0068;0;-5.189773;7.3839054;2.661687;Glioblastoma
1.00E+10;Neoplastic;1559.0358;0;0;0;0;1680.474;702.0287;0;104.08993;0;-3.66988;7.911717;3.6820989;Glioblastoma
1.00E+18;Neoplastic;1757.3076;0;0;47.253185;0;1847.9827;2924.589;0;11.494018;0;-4.490711;8.00352;3.3523495;Glioblastoma
1001000182.B6;Neoplastic;587.3194;0;31.533928;0;0;110.36875;10006.109;0;0;0;-4.714656;7.1050816;3.0435655;Glioblastoma
1001000182.A6;Neoplastic;35.110714;0;0;0;0;46.81429;6565.7036;0;514.95715;0;-3.7313254;6.9253745;3.4604816;Glioblastoma
1001000182.G11;Neoplastic;0;0;0;224.41327;0;1114.8271;1545.5559;937.4683;546.5549;0;-4.9991913;7.411238;2.699873;Glioblastoma
1001000182.H11;Neoplastic;0;0;0;0;0;292.12497;363.28363;367.02884;37.45192;0;-4.8585324;6.813678;2.803705;Glioblastoma
1001000182.C7;Neoplastic;420.9558;0;0;523.6279;0;1560.6166;2757.774;0;137.58067;0;-4.336685;7.8356295;3.3909004;Glioblastoma
1001000182.G7;Neoplastic;949.2365;6470.727;8.843818;560.10846;0;0;5391.7812;0;315.4295;0;-5.2578683;6.911824;2.602427;Glioblastoma
1.00E+21;Neoplastic;0;0;0;0;0;0;9680.996;0;164.28357;0;-4.992626;6.9843493;2.8701117;Glioblastoma
1001000182.D3;Neoplastic;193.654;0;13.018757;0;0;2081.3738;0;0;1.6273446;0;-3.7002766;7.484623;3.4743443;Glioblastoma
1001000182.H6;OPC;2.3257003;4.6514006;0;0;0;0;0;481.41998;0;0;-6.533522;0.4091111;7.137085;Glioblastoma
1001000182.C1;Neoplastic;0;0;0;0;0;0;5122.5356;110.55832;257.96942;0;-6.6589537;-1.6495748;-7.809982;Glioblastoma
1001000182.G6;Neoplastic;1358.9154;0;0;481.24146;0;942.7599;2392.4011;0;1.972301;0;-4.346197;7.845291;3.3615742;Glioblastoma
1001000182.A8;Neoplastic;0;0;0;56.089294;520.82916;0;0;0;4.006378;0;-3.7009451;6.843386;3.333685;Glioblastoma
1001000183.A3;Neoplastic;1015.50073;0;0;0;0;300.17947;1021.8876;0;229.9247;0;-4.1082582;5.2280927;3.011424;Glioblastoma
1001000183.C6;Neoplastic;134.15121;0;707.64764;0;0;1237.5449;506.4208;0;70.42938;0;-4.4232802;7.934056;3.3370264;Glioblastoma
1001000183.F4;Neoplastic;52.574852;0;0;0;262.87427;510.72714;585.8341;0;0;0;-3.3800216;6.543225;3.5156257;Glioblastoma
